No,title,github/code,paper reading article,project link,Catorgory,Oral day,Oral session,Oral time,Poster day,Poster session,Poster #,First author,Author
304,A Simple Pooling-Based Design for Real-Time Salient Object Detection,http://mmcheng.net/poolnet/ ,,,,,,,Tuesday,Poster 1.2,163,Jiang-Jiang Liu,"Jiang-Jiang Liu, Qibin Hou, Ming-Ming Cheng, Jiashi Feng, Jianmin Jiang"
305,DeepMapping: Unsupervised Map Estimation From Multiple Point Clouds,https://ai4ce.github.io/DeepMapping/,,,,Thursday,Oral 3.1A,9:47,Thursday,Poster 3.1,203,Li Ding,"Li Ding, Chen Feng"
306,Action Recognition From Single Timestamp Supervision in Untrimmed Videos,https://bitbucket.org/dmoltisanti/action_recognition_single_timestamps/src/master/,,https://dimadamen.github.io/single_timestamps/,,,,,Thursday,Poster 3.1,129,Davide Moltisanti,"Davide Moltisanti, Sanja Fidler, Dima Damen"
307,FilterReg: Robust and Efficient Probabilistic Point-Set Registration Using Gaussian Filter and Twist Parameterization,https://bitbucket.org/gaowei19951004/poser/src/master/ ,,,,Thursday,Oral 3.2C,14:34,Thursday,Poster 3.2,158,Wei Gao,"Wei Gao, Russ Tedrake"
117,Unsupervised Deep Tracking,https://github.com/594422814/UDT,,,,,,,Tuesday,Poster 1.1,132,Ning Wang,"Ning Wang, Yibing Song, Chao Ma, Wengang Zhou, Wei Liu, Houqiang Li"
308,Social-IQ: A Question Answering Benchmark for Artificial Social Intelligence,https://github.com/A2Zadeh/Social-IQ,,,,Thursday,Oral 3.1B,9:52,Thursday,Poster 3.1,91,Amir Zadeh,
1059,All About Structure: Adapting Structural Information Across Domains for Boosting Semantic Segmentation,https://github.com/a514514772/DISE-Domain-Invariant-Structure-Extraction,,,,,,,Tuesday,Poster 1.1,192,Wei-Lun Chang,
309,Reflection Removal Using a Dual-Pixel Sensor,https://github.com/abhijithpunnappurath/dprr,,https://abhijithpunnappurath.github.io/dprr,,,,,Tuesday,Poster 1.1,157,Abhijith Punnappurath,"Abhijith Punnappurath ,Michael S. Brown"
261,Art2Real: Unfolding the Reality of Artworks via Semantically-Aware Image-To-Image Translation,https://github.com/aimagelab/art2real,,,,,,,Wednesday,Poster 2.1,161,Matteo Tomei,"Matteo Tomei, Marcella Cornia, Lorenzo Baraldi, Rita Cucchiara"
150,Latent Space Autoregression for Novelty Detection,https://github.com/aimagelab/novelty-detection,,,,,,,Tuesday,Poster 1.1,25,Davide Abati,"Davide Abati, Angelo Porrello, Simone Calderara, Rita Cucchiara"
96,"Show, Control and Tell: A Framework for Generating Controllable and Grounded Captions",https://github.com/aimagelab/show-control-and-tell,,,,,,,Wednesday,Poster 2.2,195,Marcella Cornia,"Marcella Cornia, Lorenzo Baraldi, Rita Cucchiara"
123,Strike (With) a Pose: Neural Networks Are Easily Fooled by Strange Poses of Familiar Objects,https://github.com/airalcorn2/strike-with-a-pose,,,,,,,Wednesday,Poster 2.1,29,Michael A. Alcorn,"Michael A. Alcorn, Qi Li, Zhitao Gong, Chengfei Wang, Long Mai, Wei-Shinn Ku, Anh Nguyen"
310,Learning 3D Human Dynamics From Video,https://github.com/akanazawa/human_dynamics?,,,,,,,Wednesday,Poster 2.1,122,Angjoo Kanazawa,"Angjoo Kanazawa, Jason Y. Zhang, Panna Felsen, Jitendra Malik"
311,Video Action Transformer Network,https://github.com/alainray/action_transformer,,,,Tuesday,Oral 1.1C,9:00,Tuesday,Poster 1.1,109,Rohit Girdhar,"Rohit Girdhar, Jo?o Carreira, Carl Doersch, Andrew Zisserman"
312,Bilateral Cyclic Constraint and Adaptive Regularization for Unsupervised Monocular Depth Prediction,https://github.com/alexklwong/adareg-monodispnet,,,,,,,Wednesday,Poster 2.1,125,Alex Wong,"Alex Wong, Byung-Woo Hong, Stefano Soatto"
81,Animating Arbitrary Objects via Deep Motion Transfer,https://github.com/AliaksandrSiarohin/monkey-net,,,,Tuesday,Oral 1.2B,14:06,Tuesday,Poster 1.2,124,Aliaksandr Siarohin,"Aliaksandr Siarohin,?St¨¦phane Lathuili¨¨re,?Sergey Tulyakov,?Elisa Ricci,?Nicu Sebe"
194,ELASTIC: Improving CNNs With Dynamic Scaling Policies,https://github.com/allenai/elastic,,,,Tuesday,Oral 1.2A,14:42,Tuesday,Poster 1.2,30,Huiyu Wang,"Huiyu Wang, Aniruddha Kembhavi, Ali Farhadi, Alan Yuille, Mohammad Rastegari"
129,Learning to Learn How to Learn: Self-Adaptive Visual Navigation Using Meta-Learning,https://github.com/allenai/savn,,,,Wednesday,Oral 2.2B,15:10,Wednesday,Poster 2.2,194,Mitchell Wortsman,"Mitchell Wortsman, Kiana Ehsani, Mohammad Rastegari, Ali Farhadi, Roozbeh Mottaghi"
636,Argoverse: 3D Tracking and Forecasting With Rich Maps,https://github.com/alliecc/argoverse_baselinetracker,,,,Thursday,Oral 3.1B,9:16,Thursday,Poster 3.1,85,Ming-Fang Chang,
59,Recurrent Back-Projection Network for Video Super-Resolution,https://github.com/alterzero/RBPN-PyTorch,,https://alterzero.github.io/projects/RBPN.html,,,,,Tuesday,Poster 1.2,161,Muhammad Haris,"Muhammad Haris, Greg Shakhnarovich, Norimichi Ukita?"
242,Trust Region Based Adversarial Attack on Neural Networks,https://github.com/amirgholami/trattack,,,,,,,Thursday,Poster 3.2,38,Zhewei Yao,"Zhewei Yao, Amir Gholami, Peng Xu, Kurt Keutzer, Michael Mahoney"
313,GPSfM: Global Projective SFM Using Algebraic Constraints on Multi-View Fundamental Matrices,https://github.com/amnonge/GPSFM-Code,,,,,,,Tuesday,Poster 1.2,79,Yoni Kasten,Yoni Kasten* Amnon Geifman* Meirav Galun Ronen Basri
314,Depth From a Polarisation + RGB Stereo Pair,https://github.com/AmosZhu/CVPR2019,,,,,,,Wednesday,Poster 2.2,86,Dizhong Zhu,"Dizhong Zhu, William A.P. Smith"
315,Improved Road Connectivity by Joint Learning of Orientation and Segmentation,https://github.com/anilbatra2185/road_connectivity,,,,,,,Thursday,Poster 3.1,177,Anil Batra,Anil Batra£¬Suriya Singh£¬Guan Pang£¬Saikat Basu£¬C.V. Jawahar1 Manohar Paluri
162,Semantically Tied Paired Cycle Consistency for Zero-Shot Sketch-Based Image Retrieval,https://github.com/AnjanDutta/sem-pcyc,,,,,,,Wednesday,Poster 2.1,54,Anjan Dutta,"Anjan Dutta, Zeynep Akata "
205,Unsupervised Learning of Action Classes With Continuous Temporal Embedding,https://github.com/annusha/unsup_temp_embed,,,,,,,Thursday,Poster 3.2,129,Anna Kukleva,"Anna Kukleva, Hilde Kuehne, Fadime Sener, Juergen Gall"
316,Bringing Alive Blurred Moments,https://github.com/anshulbshah/Blurred-Image-to-Video,,,,Wednesday,Oral 2.2C,14:11,Wednesday,Poster 2.2,137,Kuldeep Purohit,
55,"Competitive Collaboration: Joint Unsupervised Learning of Depth, Camera Motion, Optical Flow and Motion Segmentation",https://github.com/anuragranj/cc,,,,,,,Thursday,Poster 3.2,165,Anurag Ranjan,"Anurag Ranjan, Varun Jampani, Lukas Balles, Kihwan Kim, Deqing Sun, Jonas Wulff, Michael J. Black?"
317,Sliced Wasserstein Discrepancy for Unsupervised Domain Adaptation,https://github.com/apple/ml-cvpr2019-swd,,,,,,,Thursday,Poster 3.1,167,Chen-Yu Lee,"Chen-Yu Lee, Tanmay Batra, Mohammad Haris Baig, Daniel Ulbricht"
747,Attentive Feedback Network for Boundary-Aware Salient Object Detection,https://github.com/ArcherFMY/AFNet,,,,,,,Tuesday,Poster 1.1,164,Mengyang Feng,
1224,Viewport Proposal CNN for 360deg Video Quality Assessment,https://github.com/Archer-Tatsu/V-CNN,,,,,,,Thursday,Poster 3.1,156,Chen Li,
318,Zero-Shot Task Transfer,https://github.com/ArghyaPal/Zero-shot-task-transfer,,,,Tuesday,Oral 1.2A,13:58,Tuesday,Poster 1.2,23,Arghya Pal,
282,A-CNN: Annularly Convolutional Neural Networks on Point Clouds,https://github.com/artemkomarichev/a-cnn,,,,,,,Wednesday,Poster 2.2,69,Artem Komarichev,"Artem Komarichev, Zichun Zhong, Jing Hua"
319,Automatic Adaptation of Object Detectors to New Domains Using Self-Training,https://github.com/AruniRC/detectron-self-train,,http://vis-www.cs.umass.edu/self-train/,,,,,Tuesday,Poster 1.1,55,Aruni RoyChowdhury,"Aruni RoyChowdhury, Prithvijit Chakrabarty, Ashish Singh, SouYoung Jin, Huaizu Jiang, Liangliang Cao and Erik Learned-Miller "
320,PointFlowNet: Learning Representations for Rigid Motion Estimation From Point Clouds,https://github.com/aseembehl/pointflownet ,,,,,,,Wednesday,Poster 2.2,124,Aseem Behl,"Aseem Behl, Despoina Paschalidou, Simon Donn¨¦, Andreas Geiger"
321,LAEO-Net: Revisiting People Looking at Each Other in Videos,https://github.com/AVAuco/ucolaeodb,,http://www.robots.ox.ac.uk/~vgg/research/laeonet?,,,,,Tuesday,Poster 1.2,100,Manuel J. Marin-Jimenez,Manuel J Marin-Jimenez£¬Vicky Kalogeiton£¬Pablo Medina-Suarez£¬Andrew Zisserman
239,Noise-Aware Unsupervised Deep Lidar-Stereo Fusion,https://github.com/AvrilCheng/LidarStereoNet,,,,,,,Wednesday,Poster 2.1,211,Xuelian Cheng,"Xuelian Cheng, Yiran Zhong, Yuchao Dai, Pan Ji, Hongdong Li"
322,Handwriting Recognition in Low-Resource Scripts Using Adversarial Learning,https://github.com/AyanKumarBhunia/Handwriting_Recogition_using_Adversarial_Learning?,,,,,,,Wednesday,Poster 2.1,21,Ayan Kumar Bhunia,"Ayan Kumar Bhunia, Abhirup Das, Ankan Kumar Bhunia, Perla Sai Raj Kishore, Partha Pratim Roy"
92,Depth-Aware Video Frame Interpolation,https://github.com/baowenbo/DAIN,,,,,,,Tuesday,Poster 1.2,141,Wenbo Bao,"Wenbo Bao Wei-Sheng Lai, Chao Ma, Xiaoyun Zhang, Zhiyong Gao, and Ming-Hsuan Yang"
69,GANFIT: Generative Adversarial Network Fitting for High Fidelity 3D Face Reconstruction,https://github.com/barisgecer/ganfit,,,,,,,Tuesday,Poster 1.1,105,Baris Gecer,"Baris Gecer, Stylianos Ploumpis, Irene Kotsia, Stefanos Zafeiriou"
323,RepNet: Weakly Supervised Training of an Adversarial Reprojection Network for 3D Human Pose Estimation,https://github.com/bastianwandt/RepNet,,,,,,,Wednesday,Poster 2.2,106,Bastian Wandt,"Bastian Wandt, Bodo Rosenhahn"
324,End-To-End Projector Photometric Compensation,https://github.com/BingyaoHuang/compennet?,,,,Wednesday,Oral 2.2C,13:58,Wednesday,Poster 2.2,135,Bingyao Huang,"Bingyao Huang, Haibin Ling"
185,A Poisson-Gaussian Denoising Dataset With Real Fluorescence Microscopy Images,https://github.com/bmmi/denoising-fluorescence,,,,,,,Thursday,Poster 3.2,75,Yide Zhang,"Yide Zhang, Yinhao Zhu, Evan Nichols, Qingfei Wang, Siyuan Zhang, Cody Smith, Scott Howard"
184,Deep RNN Framework for Visual Sequential Applications,https://github.com/BoPang1996/Deep-RNN-Framework,,,,,,,Tuesday,Poster 1.1,19,Bo Pang,"Bo Pang, Kaiwen Zha, Hanwen Cao, Chen Shi, Cewu Lu"
325,3D Hand Shape and Pose From Images in the Wild,https://github.com/boukhayma/3dhand,,,,Thursday,Oral 3.2B,13:53,Thursday,Poster 3.2,96,Adnane Boukhayma,"Adnane Boukhayma, Rodrigo de Bem, Philip H.S. Torr"
151,DeepCaps: Going Deeper With Capsule Networks,https://github.com/brjathu/deepcaps,,,,Thursday,Oral 3.2A,14:29,Thursday,Poster 3.2,11,Jathushan Rajasegaran,"Jathushan Rajasegaran, Vinoj Jayasundara, Sandaru Jayasekara, Hirunima Jayasekara, Suranga Seneviratne, Ranga Rodrigo"
84,MUREL: Multimodal Relational Reasoning for Visual Question Answering,https://github.com/Cadene/murel.bootstrap.pytorch,https://zhuanlan.zhihu.com/p/60972299,,,,,,Tuesday,Poster 1.1,201,Remi Cadene,"Remi Cadene, Hedi Ben-younes, Matthieu Cord, Nicolas Thome"
326,Pyramid Feature Attention Network for Saliency Detection,https://github.com/CaitinZhao/cvpr2019_Pyramid-Feature-Attention-Network-for-Saliency-detection,,,,,,,Tuesday,Poster 1.2,61,Ting Zhao,"Ting Zhao, Xiangqian Wu"
902,"See More, Know More: Unsupervised Video Object Segmentation With Co-Attention Siamese Networks",https://github.com/carrierlxk/COSNet,,,,,,,Tuesday,Poster 1.2,115,Xiankai Lu,
327,"Zoom to Learn, Learn to Zoom",https://github.com/ceciliavision/zoom-learn-zoom,,https://ceciliavision.github.io/project-pages/project-zoom.html?,,,,,Tuesday,Poster 1.2,147,Xuaner Zhang,"Xuaner Cecilia Zhang, Qifeng Chen, Ren Ng, Vladlen Koltun "
206,Generating Multiple Hypotheses for 3D Human Pose Estimation With Mixture Density Network,https://github.com/chaneyddtt/Generating-Multiple-Hypotheses-for-3D-Human-Pose-Estimation-with-Mixture-Density-Network,,,,,,,Thursday,Poster 3.1,126,Chen Li,"Chen Li, Gim Hee Lee"
328,Hybrid-Attention Based Decoupled Metric Learning for Zero-Shot Image Retrieval,https://github.com/chenbinghui1/Hybrid-Attention-based-Decoupled-Metric-Learning?,,,,,,,Tuesday,Poster 1.2,9,Binghui Chen,"Binghui Chen, Weihong Deng"
82,Photometric Mesh Optimization for Video-Aligned 3D Object Reconstruction,https://github.com/chenhsuanlin/photometric-mesh-optim,,https://chenhsuanlin.bitbucket.io/photometric-mesh-optim/,,,,,Tuesday,Poster 1.1,86,Chen-Hsuan Lin,"Pelin Dogan, Leonid Sigal, Markus Gross"
118,Collaborative Global-Local Networks for Memory-Efficient Segmentation of Ultra-High Resolution Images,https://github.com/chenwydj/ultra_high_resolution_segmentation,,,,Thursday,Oral 3.1C,9:34,Thursday,Poster 3.1,66,Wuyang Chen,"Wuyang Chen, Ziyu Jiang, Zhangyang Wang, Kexin Cui, Xiaoning Qian"
329,Fully Automatic Video Colorization With Self-Regularization and Diversity,https://github.com/ChenyangLEI/Fully-Automatic-Video-Colorization-with-Self-Regularization-and-Diversity,,,,,,,Tuesday,Poster 1.2,146,Chenyang Lei,
330,Multi-Label Image Recognition With Graph Convolutional Networks,https://github.com/chenzhaomin123/ML_GCN,,,,,,,Wednesday,Poster 2.1,63,Zhao-Min Chen,"Zhao-Min Chen, Xiu-Shen Wei, Peng Wang, Yanwen Guo"
80,Learning Attraction Field Representation for Robust Line Segment Detection,https://github.com/cherubicXN/afm_cvpr2019,,,,,,,Tuesday,Poster 1.1,161,Nan Xue,"Nan Xue,?Song Bai,?Fudong Wang,?Gui-Song Xia,?Tianfu Wu,?Liangpei Zhang"
101,The Regretful Agent: Heuristic-Aided Navigation Through Progress Estimation,https://github.com/chihyaoma/regretful-agent,,,,Wednesday,Oral 2.2B,15:00,Wednesday,Poster 2.2,192,Chih-Yao Ma,"Chih-Yao Ma, Zuxuan Wu, Ghassan AlRegib, Caiming Xiong, Zsolt Kira"
262,Iterative Residual CNNs for Burst Photography Applications,https://github.com/cig-skoltech/burst-cvpr-2019,,,,,,,Wednesday,Poster 2.1,169,Filippos Kokkinos,Filippos Kokkinos ? Stamatis Lefkimmiatis 
119,Improving Transferability of Adversarial Examples With Input Diversity,https://github.com/cihangxie/DI-2-FGSM,,,,,,,Tuesday,Poster 1.2,7,Cihang Xie,Cihang Xie; Yuyin Zhou; Song Bai; Zhishuai Zhang; Jianyu Wang; Zhou Ren; Alan Yuille
132,TOUCHDOWN: Natural Language Navigation and Spatial Reasoning in Visual Street Environments,https://github.com/clic-lab/touchdown,,,,,,,Thursday,Poster 3.2,195,Howard Chen,"Howard Chen, Alane Suhr, Dipendra Misra, Noah Snavely, Yoav Artzi"
679,Character Region Awareness for Text Detection,https://github.com/clovaai/CRAFT-pytorch,,,,,,,Thursday,Poster 3.1,43,Youngmin Baek,
563,"Monocular Total Capture: Posing Face, Body, and Hands in the Wild",https://github.com/CMU-Perceptual-Computing-Lab/MonocularTotalCapture,,http://domedb.perception.cs.cmu.edu/monototalcapture.html,,Thursday,Oral 3.2B,15:05,Thursday,Poster 3.2,108,Donglai Xiang,"Donglai Xiang, Hanbyul Joo, Yaser Sheikh"
68,Panoptic Segmentation,https://github.com/cocodataset/panopticapi,,,,,,,Thursday,Poster 3.1,47,Alexander Kirillov,"Huanyu Liu, Chao Peng, Changqian Yu, Jingbo Wang, Xu Liu, Gang Yu, Wei Jiang"
331,Towards Natural and Accurate Future Motion Prediction of Humans and Animals,https://github.com/CoderStellaJ/Hierarchical-Motion-Recurrent-Network-Website,https://coderstellaj.github.io/Hierarchical-Motion-Recurrent-Network-Website/,,,,,,Thursday,Poster 3.1,138,Zhenguang Liu,Zhenguang Liu (Zhejiang Gongshang University)*; Shuang Wu (Nanyang Technological University); Shuyuan Jin (NUS); Qi Liu (National University of Singapore); Shijian Lu (Nanyang Technological University); Roger Zimmermann (NUS); Li Cheng (University of Alberta)
1067,Deep Defocus Map Estimation Using Domain Adaptation,https://github.com/codeslake/SYNDOF,,,,,,,Thursday,Poster 3.2,145,Junyong Lee,
332,COIN: A Large-Scale Dataset for Comprehensive Instructional Video Analysis,https://github.com/coin-dataset/code,https://mp.weixin.qq.com/s/YFmgdIEfLCvL5LLGQ0vesw,https://coin-dataset.github.io/,,,,,Tuesday,Poster 1.1,122,Yansong Tang,"Yansong Tang, Dajun Ding, Yongming Rao, Yu Zheng, Danyang Zhang, Lili Zhao, Jiwen Lu, Jie Zhou"
333,Context-Aware Crowd Counting,https://github.com/CommissarMa/Context-Aware_Crowd_Counting-pytorch,,,,,,,Wednesday,Poster 2.1,55,Weizhe Liu,"Weizhe Liu, Mathieu Salzmann, Pascal Fua"
