Paper ID,Paper Title,Author Names,Primary Subject Area,Secondary Subject Areas,Status,Day.Time.Track,Group,Topic,,,Track 1,Track 2,Track 3
5,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,"Hongyang Li (The Chinese University of Hong Kong)*; David Eigen (Clarifai Inc.); Samuel Dodge (Clarifai Inc.); Matt Zeiler (Clarifai Inc.); Xiaogang Wang (Chinese University of Hong Kong, Hong Kong)",Deep Learning,,Oral,1.1.1,1,Deep Learning,,Orals 1.1,Deep Learning,3D Multiview,Action & Video
6340,Edge-Labeling Graph Neural Network for Few-shot Learning,Jongmin Kim (KAIST)*; Taesup Kim (Université de Montréal); Sungwoong Kim (Kakao Brain); Chang D. Yoo (KAIST),Deep Learning,"Recognition: Detection, Categorization, Retrieval; Representation Learning; Segmentation, Grouping a",Oral,1.1.1,1,,,Orals 1.2,Recognition,Synthesis,Scenes & Representation
5728,Generating Classification Weights with Graph Neural Networks for Few-Shot Learning,"Spyros Gidaris (valeo.ai)*; Nikos Komodakis (""ENPC, France"")",Deep Learning,"Recognition: Detection, Categorization, Retrieval",Oral,1.1.1,1,,,Orals 2.1,Deep Learning,3D Single View & RGBD,Motion & Biometrics
257,Kervolutional Neural Networks,"Chen Wang (Nanyang Technological University)*; JIANFEI YANG (Nanyang Technological University); Prof. Dr. Respected Colleauge (IJCAS Editorial Member); Junsong Yuan (""State University of New York at Buffalo, USA"")",Deep Learning,Computer Vision Theory,Oral,1.1.1,2,,,Orals 2.2,Recognition,Language & Reasoning,Comp. Photography & Graphics
4863,Why ReLu networks yield high-confidence predictions far away from the training data and how to mitigate the problem,Matthias Hein (University of Tuebingen)*; Maksym Andriushchenko (Saarland University); Julian Bitterwolf (University of Tuebingen),Deep Learning,Statistical Learning,Oral,1.1.1,2,,,Orals 3.1,Applications,"Learning, Physics, Theory, & Datasets",Segmentation & Grouping
6679,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,Yusuke Tsuzuku (The University of Tokyo/RIKEN)*; Issei Sato (The university of Tokyo/RIKEN),Deep Learning,Others,Oral,1.1.1,2,,,Orals 3.2,Deep Learning,Face & Body,Low-level & Optimization
948,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,Siyuan Qiao (Johns Hopkins University)*; Zhe Lin (Adobe Research); Jianming Zhang (Adobe Research); Alan Yuille (Johns Hopkins University),Deep Learning,,Oral,1.1.1,3,,,,,,
2284,Hardness-Aware Deep Metric Learning,Wenzhao Zheng (Tsinghua University); Zhaodong Chen (Tsinghua University); Jiwen Lu (Tsinghua University)*; Jie Zhou (Tsinghua University),Deep Learning,Representation Learning,Oral,1.1.1,3,,,,,,
1183,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,Chenxi Liu (Johns Hopkins University)*; Liang-Chieh Chen (Google Inc.); Florian Schroff (Google Inc.); Hartwig Adam (Google); Wei Hua (Google); Alan Yuille (Johns Hopkins University); Li Fei-Fei (Stanford University),Deep Learning,"Segmentation, Grouping and Shape",Oral,1.1.1,3,,,,,,
1535,Learning to Learn Loss for Active Learning,Donggeun Yoo (Lunit)*; In So Kweon (KAIST),Deep Learning,"Others; Recognition: Detection, Categorization, Retrieval; Vision Applications and Systems",Oral,1.1.1,4,,,,,,
