Paper ID,Paper Title,Author Names,Primary Subject Area,Secondary Subject Areas,Status,Day.Time,Poster #,Topic,,Topic Legend,
5,Finding Task-Relevant Features for Few-Shot Learning by Category Traversal,"Hongyang Li (The Chinese University of Hong Kong)*; David Eigen (Clarifai Inc.); Samuel Dodge (Clarifai Inc.); Matt Zeiler (Clarifai Inc.); Xiaogang Wang (Chinese University of Hong Kong, Hong Kong)",Deep Learning,,Oral,1.1,1,A,,A,Deep Learning
6340,Edge-Labeling Graph Neural Network for Few-shot Learning,Jongmin Kim (KAIST)*; Taesup Kim (Université de Montréal); Sungwoong Kim (Kakao Brain); Chang D. Yoo (KAIST),Deep Learning,"Recognition: Detection, Categorization, Retrieval; Representation Learning; Segmentation, Grouping a",Oral,1.1,2,A,,B,Recognition
5728,Generating Classification Weights with Graph Neural Networks for Few-Shot Learning,"Spyros Gidaris (valeo.ai)*; Nikos Komodakis (""ENPC, France"")",Deep Learning,"Recognition: Detection, Categorization, Retrieval",Oral,1.1,3,A,,C,"Seg, Grouping, Shape"
257,Kervolutional Neural Networks,"Chen Wang (Nanyang Technological University)*; JIANFEI YANG (Nanyang Technological University); Prof. Dr. Respected Colleauge (IJCAS Editorial Member); Junsong Yuan (""State University of New York at Buffalo, USA"")",Deep Learning,Computer Vision Theory,Oral,1.1,4,A,,D,"Stats, Physics, Theory, & Datasets"
4863,Why ReLu networks yield high-confidence predictions far away from the training data and how to mitigate the problem,Matthias Hein (University of Tuebingen)*; Maksym Andriushchenko (Saarland University); Julian Bitterwolf (University of Tuebingen),Deep Learning,Statistical Learning,Oral,1.1,5,A,,E,3D Multiview
6679,On the Structural Sensitivity of Deep Convolutional Networks to the Directions of Fourier Basis Functions,Yusuke Tsuzuku (The University of Tokyo/RIKEN)*; Issei Sato (The university of Tokyo/RIKEN),Deep Learning,Others,Oral,1.1,6,A,,F,3D Single View & RGBD
948,Neural Rejuvenation: Improving Deep Network Training by Enhancing Computational Resource Utilization,Siyuan Qiao (Johns Hopkins University)*; Zhe Lin (Adobe Research); Jianming Zhang (Adobe Research); Alan Yuille (Johns Hopkins University),Deep Learning,,Oral,1.1,7,A,,G,Face & Body
2284,Hardness-Aware Deep Metric Learning,Wenzhao Zheng (Tsinghua University); Zhaodong Chen (Tsinghua University); Jiwen Lu (Tsinghua University)*; Jie Zhou (Tsinghua University),Deep Learning,Representation Learning,Oral,1.1,8,A,,H,Action & Video
1183,Auto-DeepLab: Hierarchical Neural Architecture Search for Semantic Image Segmentation,Chenxi Liu (Johns Hopkins University)*; Liang-Chieh Chen (Google Inc.); Florian Schroff (Google Inc.); Hartwig Adam (Google); Wei Hua (Google); Alan Yuille (Johns Hopkins University); Li Fei-Fei (Stanford University),Deep Learning,"Segmentation, Grouping and Shape",Oral,1.1,9,A,,I,Motion & Biometrics
1535,Learning to Learn Loss for Active Learning,Donggeun Yoo (Lunit)*; In So Kweon (KAIST),Deep Learning,"Others; Recognition: Detection, Categorization, Retrieval; Vision Applications and Systems",Oral,1.1,10,A,,J,Synthesis
2230,Striking the Right Balance with Uncertainty,Salman Khan (Australian National University (ANU)); Munawar Hayat (University of Canberra); Waqas Zamir (IIAI); Jianbing Shen (Beijing Institute of Technology)*; Ling Shao (Inception Institute of Artificial Intelligence),Deep Learning,Low-level Vision,Oral,1.1,11,A,,K,Comp. Photography & Graphics
2368,AutoAugment: Learning Augmentation Strategies from Data,Ekin D Cubuk (Google Brain)*; Barret Zoph (Google); Dandelion Mane (Protocol Labs); Vijay Vasudevan (Google Brain); Quoc Le (Google Brain),Deep Learning,,Oral,1.1,12,A,,L,Low-level & Optimization
143,Parsing R-CNN for Instance-Level Human Analysis,Lu Yang (Beijing University of Posts and Telecommunications); Qing Song (Beijing University of Posts and Telecommunications)*; Zhihui Wang (Beijing University of Posts and Telecommunications); Ming Jiang (WiWide Inc.),Deep Learning,"Face, Gesture, and Body Pose ; Recognition: Detection, Categorization, Retrieval; Segmentation, Grou",Poster,1.1,13,A,,M,Scenes and Representation
306,Large Scale Incremental Learning,Yue Wu (northeastern university)*; Yinpeng Chen (Microsoft); Lijuan Wang (Microsoft); Yuancheng Ye (CCNY); Zicheng Liu (Microsoft); Yandong Guo (MSR); YUN FU (Northeastern University),Deep Learning,"Big Data, Large Scale Methods ; Face, Gesture, and Body Pose",Poster,1.1,14,A,,N,Language & Reasoning
365,Structural Point Cloud Decoder,"Lyne P Tchapmi (Stanford University)*; Hamid Rezatofighi (University of Adelaide); Vineet S Kosaraju (Stanford Vision & Learning Lab); Ian Reid (""University of Adelaide, Australia""); Silvio Savarese (Stanford University)",Deep Learning,3D from Multiview and Sensors; 3D from Single Image; Physics-based Vision and Shape-from-X; RGBD sen,Poster,1.1,15,A,,O,"Applications, Medical, Robotics"
423,Perceive Where to Focus: Learning Visibility-aware Part-level Features for Partial Person Re-identification,Yifan Sun (Tsinghua University); Ya-Li Li (THU); Qin Xu (Tsinghua University); Chi Zhang (Megvii Inc.); Yikang Li (CUHK); Shengjin Wang (Tsinghua University)*; Jian Sun (Megvii Technology),Deep Learning,Representation Learning,Poster,1.1,16,A,,,
454,Meta-Transfer Learning for Few-Shot Learning,Qianru Sun (MPI)*; Yaoyao Liu (Tianjin University); Tat-Seng Chua (National Univ. of Singapore); Bernt Schiele (MPI Informatics),Deep Learning,"Recognition: Detection, Categorization, Retrieval",Poster,1.1,17,A,,,
635,Structured Binary Neural Networks for Accurate Image Classification and Semantic Segmentation,"Bohan Zhuang (The University of Adelaide)*; Mingkui Tan (South China University of Technology); Lingqiao Liu (University of Adelaide); Chunhua Shen (University of Adelaide); Ian Reid (""University of Adelaide, Australia"")",Deep Learning,"Representation Learning; Segmentation, Grouping and Shape",Poster,1.1,18,A,,,
686,Deep RNN Framework for Visual Sequential Applications,Bo Pang (Shanghai Jiao Tong University); Kaiwen Zha (Shanghai Jiao Tong University); Hanwen Cao (Shanghai Jiao Tong University); Chen Shi (Shanghai Jiao Tong University); Cewu Lu (Shanghai Jiao Tong University)*,Deep Learning,"Recognition: Detection, Categorization, Retrieval; Video Analytics",Poster,1.1,19,A,,,
750,Graph-Based Global Reasoning Networks,Yunpeng Chen (National University of Singapore); Yannis Kalantidis (Facebook Research)*; Marcus Rohrbach (Facebook AI Research); Zhicheng Yan (Facebook AI); Yan Shuicheng (National University of Singapore); Jiashi Feng (NUS),Deep Learning,"Recognition: Detection, Categorization, Retrieval; Representation Learning",Poster,1.1,20,A,,,
778,SSN: Learning Sparse Switchable Normalization via SparsestMax,"Wenqi Shao (The Chinese University of HongKong)*; Tianjian Meng (University of Pittsburgh); Jingyu Li (SenseTime Research); Ruimao Zhang (The Chinese University of Hong Kong); Yudian Li (SenseTime); Xiaogang Wang (Chinese University of Hong Kong, Hong Kong); Ping Luo (The Chinese University of Hong Kong)",Deep Learning,"Action Recognition ; Optimization Methods; Recognition: Detection, Categorization, Retrieval; Vision",Poster,1.1,21,A,,,
823,Spherical Fractal Convolution Neural Networks for Point Cloud Recognition,Yongming Rao (Tsinghua University); Jiwen Lu (Tsinghua University)*; Jie Zhou (Tsinghua University),Deep Learning,"3D from Multiview and Sensors; Recognition: Detection, Categorization, Retrieval; Representation Lea",Poster,1.1,22,A,,,
830,Task-Aware Synthetic Data Generation,Shashank Tripathi (Carnegie Mellon University); Siddhartha Chandra (Amazon); Ambrish Tyagi (Amazon); James Rehg (Georgia Institute of Technology); Visesh Chari (Amazon Lab126)*; Amit Agrawal (Amazon); Kris Kitani (CMU),Deep Learning,"Recognition: Detection, Categorization, Retrieval; Scene Analysis and Understanding",Poster,1.1,23,A,,,
833,Divide and Conquer the Embedding Space for Metric Learning,Artsiom O Sanakoyeu (Heidelberg University)*; Vadim Tschernezki (Heidelberg University); Uta Büchler (Heidelberg University); Bjorn Ommer (Heidelberg University),Deep Learning,"Recognition: Detection, Categorization, Retrieval; Representation Learning",Poster,1.1,24,A,,,
858,Latent Space Autoregression for Novelty Detection,"Davide Abati (University of Modena and Reggio Emilia)*; Angelo Porrello (University of Modena and Reggio Emilia); SIMONE CALDERARA (University of Modena and Reggio Emilia, Italy); Rita Cucchiara (Universita Di Modena E Reggio Emilia)",Deep Learning,Representation Learning; Scene Analysis and Understanding; Video Analytics; Vision Applications and,Poster,1.1,25,A,,,
934,Attending to Discriminative Certainty for Domain Adaptation,Vinod Kumar Kurmi (IIT Kanpur)*; Shanu Kumar (IIT Kanpur); Vinay P Namboodiri (IIT Kanpur),Deep Learning,"Recognition: Detection, Categorization, Retrieval",Poster,1.1,26,A,,,
1061,Feature Denoising for Improving Adversarial Robustness,Cihang Xie ( Johns Hopkins University ); Yuxin Wu (Facebook AI Research); Laurens van der Maaten (Facebook); Alan Yuille (Johns Hopkins University); Kaiming He (Facebook AI Research)*,Deep Learning,"Recognition: Detection, Categorization, Retrieval",Poster,1.1,27,A,,,
1065,Selective Kernel Networks,Xiang Li (Nanjing University of Science and Technology)*; Xiaolin Hu (Tsinghua University); Wenhai Wang (Nanjing university); Jian Yang (Nanjing University of Science and Technology),Deep Learning,"Recognition: Detection, Categorization, Retrieval",Poster,1.1,28,A,,,
